"5b. U.S. Regional Natural Gas Prices"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=16&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&ctype=linechart&maptype=0&id="
"Tue Apr 04 2023 16:26:32 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"West South Central","Natural Gas Commercial Price -West South Central",1,1,"dollars per thousand cubic feet","NGCCU_WSC",6.72,7.42,7.98,6.54,6.30,6.94,7.86,6.67,6.03,7.21,8.14,7.47,6.94,8.62,10.20,10.91,10.09,12.86,15.00,12.73,11.26,10.84,10.86,9.45,8.50,9.52,10.47,9.61
"Mountain","Natural Gas Commercial Price - Mountain",1,1,"dollars per thousand cubic feet","NGCCU_MTN",7.00,7.51,7.90,6.32,6.40,6.73,7.33,6.15,6.07,6.68,7.38,6.38,6.46,7.70,9.14,8.93,8.78,9.98,12.60,11.31,9.73,9.24,9.45,7.91,7.78,8.34,9.14,7.94
"Pacific","Natural Gas Commercial Price - Pacific",1,1,"dollars per thousand cubic feet","NGCCU_PAC",8.86,8.55,9.07,8.65,9.05,8.92,9.12,8.99,9.48,9.37,9.52,9.63,10.52,10.37,11.38,12.19,13.08,13.67,15.58,14.47,14.97,13.92,13.85,13.18,13.51,13.22,13.70,13.37
"U.S. Average","Natural Gas Commercial Price - U.S. Average",1,1,"dollars per thousand cubic feet","NGCCUUS",7.59,8.03,8.70,7.57,7.54,7.96,8.41,7.19,7.18,7.61,8.47,7.51,7.54,8.86,10.14,10.27,10.00,11.71,14.12,12.14,10.86,10.16,10.44,8.95,8.90,9.76,10.63,9.38
"Industrial Retail","Industrial Retail",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England","Natural Gas Industrial Price - New England",1,1,"dollars per thousand cubic feet","NGICU_NEC",9.06,8.70,6.53,7.99,9.24,8.32,6.96,7.34,8.18,7.43,6.17,7.73,8.60,8.09,7.86,10.10,11.11,12.09,12.17,13.47,11.92,9.31,7.62,8.52,9.53,8.99,8.01,9.11
"Middle Atlantic","Natural Gas Industrial Price - Middle Atlantic",1,1,"dollars per thousand cubic feet","NGICU_MAC",8.41,7.72,7.79,7.93,8.71,7.45,6.66,7.17,7.40,6.84,7.49,7.78,8.20,7.79,8.32,11.11,10.80,10.15,11.91,12.72,10.99,8.63,7.77,8.04,8.61,8.19,8.01,8.50
"East North Central","Natural Gas Industrial Price - East North Central",1,1,"dollars per thousand cubic feet","NGICU_ENC",5.75,5.07,5.24,5.80,5.66,5.31,5.43,5.02,4.85,4.52,4.15,5.12,5.62,8.64,8.45,8.18,7.66,8.72,10.75,10.31,8.44,6.81,6.18,6.13,6.70,6.87,6.71,6.74
"West North Central","Natural Gas Industrial Price - West North Central",1,1,"dollars per thousand cubic feet","NGICU_WNC",5.11,4.25,4.20,5.12,5.17,3.96,3.44,4.22,4.07,3.35,3.19,4.22,4.89,4.61,5.48,6.97,7.96,8.58,9.59,8.62,7.05,4.71,4.52,5.23,6.07,5.38,5.31,5.97
"South Atlantic","Natural Gas Industrial Price - South Atlantic",1,1,"dollars per thousand cubic feet","NGICU_SAC",5.33,4.66,4.67,5.42,5.50,4.59,4.29,4.38,4.24,3.76,3.80,4.69,4.88,4.58,5.66,7.36,7.46,8.84,11.14,9.09,6.88,4.89,4.94,5.43,6.19,5.69,5.74,6.15
"East South Central","Natural Gas Industrial Price - East South Central",1,1,"dollars per thousand cubic feet","NGICU_ESC",4.90,4.18,4.10,4.86,4.99,4.09,3.62,4.12,4.03,3.34,3.37,4.15,4.50,4.07,5.11,6.87,6.53,8.70,10.63,8.03,6.10,4.43,4.47,5.05,5.78,5.35,5.30,5.77
"West South Central","Natural Gas Industrial Price - West South Central",1,1,"dollars per thousand cubic feet","NGICU_WSC",3.35,3.12,3.15,4.05,3.49,2.89,2.54,2.65,2.20,1.94,2.20,2.91,5.90,3.28,4.49,6.11,5.58,7.69,8.45,5.87,3.43,2.96,3.41,3.84,4.37,3.95,4.14,4.45
"Mountain","Natural Gas Industrial Price - Mountain",1,1,"dollars per thousand cubic feet","NGICU_MTN",5.54,5.43,4.80,4.90,5.23,4.71,4.88,4.64,4.36,4.54,4.57,4.85,5.24,5.55,6.96,7.67,7.11,8.39,10.45,9.79,7.77,6.44,6.20,5.98,6.22,6.18,6.43,6.41
"Pacific","Natural Gas Industrial Price - Pacific",1,1,"dollars per thousand cubic feet","NGICU_PAC",7.00,6.08,6.83,6.70,7.57,6.55,6.35,6.96,7.29,6.26,6.08,7.05,8.08,7.05,7.60,8.69,8.82,9.02,9.60,9.42,8.79,7.20,6.93,7.10,7.62,7.10,7.17,7.44
"U.S. Average","Natural Gas Industrial Price - U.S. Average",1,1,"dollars per thousand cubic feet","NGICUUS",4.43,3.82,3.72,4.70,4.66,3.73,3.29,3.73,3.57,2.88,2.91,3.82,5.77,4.13,5.09,6.82,6.82,8.24,9.27,7.53,5.65,4.10,4.18,4.83,5.58,4.86,4.87,5.46
