"7d. U.S. Regional Electricity Generation, Electric Power Sector"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=22&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&id=&maptype=0&ctype=linechart"
"Tue Apr 04 2023 16:27:02 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"Natural gas","Electric power sector generation by natural gas: New England (ISO-NE)",1,1,"billion kilowatthours","NGEPGEN_NE",10.06,9.85,17.37,11.74,10.26,9.79,15.28,11.32,10.70,10.50,16.54,11.36,12.07,11.77,16.68,12.90,12.10,12.56,17.42,11.36,15.06,13.25,16.19,12.59,13.42,11.43,14.40,11.69
"Coal","Electric power sector generation by coal: New England (ISO-NE)",1,1,"billion kilowatthours","CLEPGEN_NE",0.57,0.15,0.12,0.21,0.26,0.04,0.07,0.09,0.06,0.01,0.01,0.08,0.48,0.02,0.05,0.03,0.26,0.01,0.04,0.04,0.13,0.05,0.05,0.04,0.29,0.03,0.06,0.04
"Nuclear","Electric power sector generation by nuclear: New England (ISO-NE)",1,1,"billion kilowatthours","NUEPGEN_NE",8.16,8.28,8.39,6.55,8.60,6.80,7.31,7.11,7.29,4.92,7.30,6.07,7.07,7.06,7.31,5.63,7.08,5.56,7.34,7.41,7.20,5.66,7.26,6.17,7.18,7.18,7.26,5.73
"Conventional hydropower","Electric power sector generation by conventional hydropower: New England (ISO-NE)",1,1,"billion kilowatthours","HVEPGEN_NE",2.11,2.01,1.10,2.25,2.46,2.54,0.85,1.75,2.29,2.10,0.67,1.56,1.63,1.59,1.28,1.68,1.70,1.45,1.00,1.33,1.88,2.15,1.18,1.75,1.99,2.17,1.18,1.75
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_NE",2.86,2.37,2.32,2.57,2.74,2.28,2.25,2.51,2.52,2.65,2.42,2.55,2.83,2.81,2.48,2.61,3.16,3.18,3.04,2.98,3.02,3.18,3.08,3.01,3.26,3.81,3.57,3.78
"Other energy sources ","Electric power sector generation by other energy sources: New England (ISO-NE)",1,1,"billion kilowatthours","XXEPGEN_NE",1.31,0.32,0.32,0.30,0.35,0.33,0.34,0.39,0.35,0.34,0.34,0.40,0.41,0.33,0.32,0.38,1.36,0.35,0.35,0.77,1.04,0.25,0.25,0.45,0.96,0.31,0.25,0.47
"Total generation","Total electric power sector net generation: New England (ISO-NE)",1,1,"billion kilowatthours","TOEPGEN_NE",25.06,22.99,29.62,23.62,24.67,21.77,26.11,23.16,23.21,20.51,27.28,22.02,24.49,23.59,28.13,23.22,25.66,23.10,29.18,23.88,28.33,24.55,28.00,24.00,27.11,24.93,26.71,23.45
"Net energy for load ","Net energy for load: New England (ISO-NE)",1,1,"billion kilowatthours","ELLOAD_NE",29.96,26.83,33.89,28.84,29.69,25.91,31.57,28.14,28.06,25.35,31.95,27.72,29.25,27.05,32.45,27.91,30.16,26.00,32.98,27.48,29.25,27.72,32.03,28.57,30.87,28.02,32.36,28.87
"New York (NYISO)","New York (NYISO)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: New York (NYISO)",1,1,"billion kilowatthours","NGEPGEN_NY",10.71,12.47,19.52,12.84,11.94,10.67,17.78,11.98,12.22,11.49,20.42,13.00,13.13,14.06,19.38,14.97,14.08,15.46,21.15,14.26,9.95,13.26,13.27,13.05,14.98,15.30,15.89,14.22
"Coal","Electric power sector generation by coal: New York (NYISO)",1,1,"billion kilowatthours","CLEPGEN_NY",0.37,0.01,0.22,0.07,0.33,0.01,0.08,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Nuclear","Electric power sector generation by nuclear: New York (NYISO)",1,1,"billion kilowatthours","NUEPGEN_NY",10.92,10.05,10.54,11.41,10.44,10.83,11.76,11.84,10.65,9.21,9.00,9.57,9.28,7.68,7.25,6.97,6.37,7.04,6.41,7.00,6.77,6.49,7.03,7.03,6.32,6.95,6.90,6.43
"Conventional hydropower","Electric power sector generation by conventional hydropower: New York (NYISO)",1,1,"billion kilowatthours","HVEPGEN_NY",7.17,7.50,7.30,7.58,7.42,7.43,7.95,7.75,7.41,7.45,7.40,7.21,7.07,7.00,7.13,7.49,7.32,6.87,6.61,6.62,6.73,6.79,6.82,7.04,6.94,6.88,6.88,7.08
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_NY",1.63,1.44,1.29,1.67,1.82,1.57,1.37,1.77,1.80,1.67,1.52,1.95,1.75,1.72,1.47,1.84,2.15,2.10,1.75,2.20,2.47,2.63,2.11,2.80,3.05,3.35,2.64,3.26
"Other energy sources ","Electric power sector generation by other energy sources: New York (NYISO)",1,1,"billion kilowatthours","XXEPGEN_NY",1.49,0.14,0.13,0.10,0.51,0.09,0.15,0.16,0.22,0.17,0.16,0.20,0.38,0.16,0.41,0.10,1.11,0.11,0.13,0.82,0.52,0.11,0.18,0.35,0.66,0.12,0.21,0.41
"Total generation","Total electric power sector net generation: New York (NYISO)",1,1,"billion kilowatthours","TOEPGEN_NY",32.30,31.62,39.00,33.68,32.46,30.60,39.07,33.50,32.45,30.00,38.50,31.92,31.60,30.61,35.65,31.36,31.02,31.58,36.05,30.89,26.45,29.30,29.41,30.28,31.95,32.60,32.51,31.40
"Net energy for load ","Net energy for load: New York (NYISO)",1,1,"billion kilowatthours","ELLOAD_NY",37.93,35.92,45.32,36.83,37.68,34.39,42.81,35.81,35.50,32.60,42.40,34.81,36.45,34.81,42.73,35.27,37.62,34.01,43.32,34.96,36.24,35.60,41.81,35.16,37.31,35.38,41.77,35.21
"Mid-Atlantic (PJM)","Mid-Atlantic (PJM)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Mid-Atlantic (PJM)",1,1,"billion kilowatthours","NGEPGEN_PJ",55.70,56.71,78.74,61.16,70.26,65.08,90.72,70.97,80.60,70.64,96.14,69.84,72.29,71.44,89.96,78.89,76.81,74.25,103.78,79.91,83.09,75.40,103.79,80.37,81.05,75.12,103.03,80.81
"Coal","Electric power sector generation by coal: Mid-Atlantic (PJM)",1,1,"billion kilowatthours","CLEPGEN_PJ",61.99,51.55,62.26,50.71,53.35,39.72,51.58,38.64,33.76,29.64,46.59,37.96,49.84,39.77,55.31,29.77,48.59,35.29,42.19,30.73,32.74,33.06,40.63,26.08,38.05,33.99,42.53,27.41
